tracer_0,tracer_1,tracer_2,tracer_3,tracer_4,tracer_5,tracer_6,tracer_7,tracer_8,tracer_9
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,0.0000,0.0000
0.0001,0.0001,0.0000,nan,0.0000,0.0001,0.0000,nan,0.0000,0.0000
0.0001,0.0002,0.0000,nan,0.0001,0.0001,0.0001,nan,0.0000,0.0001
0.0002,0.0002,0.0001,nan,0.0001,0.0002,0.0001,nan,0.0000,0.0001
0.0002,0.0003,0.0001,nan,0.0002,0.0002,0.0002,nan,0.0000,0.0002
0.0003,0.0005,0.0002,nan,0.0002,0.0003,0.0002,nan,0.0000,0.0002
0.0005,0.0006,0.0002,nan,0.0003,0.0003,0.0002,nan,0.0001,0.0003
0.0006,0.0007,0.0003,nan,0.0003,0.0004,0.0003,nan,0.0001,0.0004
0.0008,0.0008,0.0004,nan,0.0004,0.0005,0.0004,nan,0.0001,0.0006
0.0009,0.0009,0.0005,nan,0.0005,0.0006,0.0005,nan,0.0001,0.0008
0.0010,0.0010,0.0005,nan,0.0005,0.0008,0.0007,nan,0.0002,0.0009
0.0011,0.0011,0.0006,nan,0.0006,0.0009,0.0008,nan,0.0003,0.0010
0.0012,0.0012,0.0006,nan,0.0006,0.0010,0.0010,nan,0.0004,0.0011
0.0014,0.0012,0.0007,nan,0.0007,0.0011,0.0010,nan,0.0005,0.0011
0.0017,0.0013,0.0007,nan,0.0008,0.0012,0.0010,nan,0.0006,0.0012
0.0020,0.0013,0.0007,nan,0.0008,0.0014,0.0011,nan,0.0007,0.0012
0.0022,0.0014,0.0008,nan,0.0009,0.0015,0.0012,nan,0.0007,0.0012
0.0022,0.0015,0.0009,nan,0.0009,0.0017,0.0013,nan,0.0008,0.0013
0.0022,0.0016,0.0010,nan,0.0011,0.0018,0.0014,nan,0.0009,0.0015
0.0022,0.0018,0.0012,nan,0.0012,0.0019,0.0016,nan,0.0010,0.0016
0.0023,0.0020,0.0014,nan,0.0012,0.0021,0.0018,nan,0.0011,0.0018
0.0024,0.0020,0.0015,nan,0.0012,0.0022,0.0021,nan,0.0012,0.0019
0.0025,0.0021,0.0015,nan,0.0012,0.0023,0.0024,nan,0.0014,0.0020
0.0027,0.0023,0.0015,nan,0.0013,0.0024,0.0028,nan,0.0015,0.0022
0.0028,0.0023,0.0016,nan,0.0013,0.0025,0.0033,nan,0.0017,0.0023
0.0030,0.0024,0.0017,nan,0.0014,0.0026,0.0037,nan,0.0018,0.0025
0.0030,0.0025,0.0018,nan,0.0015,0.0027,0.0041,nan,0.0020,0.0026
0.0031,0.0026,0.0020,nan,0.0016,0.0029,0.0041,nan,0.0022,0.0027
0.0032,0.0027,0.0022,nan,0.0018,0.0030,0.0041,nan,0.0023,0.0028
0.0033,0.0029,0.0024,nan,0.0020,0.0033,0.0042,nan,0.0024,0.0030
0.0034,0.0030,0.0024,nan,0.0023,0.0035,0.0044,nan,0.0026,0.0031
0.0034,0.0031,0.0025,nan,0.0026,0.0037,0.0046,nan,0.0028,0.0031
0.0035,0.0032,0.0025,nan,0.0030,0.0040,0.0049,nan,0.0030,0.0032
0.0036,0.0034,0.0026,nan,0.0034,0.0044,0.0052,nan,0.0034,0.0033
0.0038,0.0036,0.0028,nan,0.0035,0.0047,0.0056,nan,0.0037,0.0034
0.0040,0.0037,0.0030,nan,0.0036,0.0051,0.0057,nan,0.0037,0.0035
0.0042,0.0039,0.0031,nan,0.0037,0.0052,0.0056,nan,0.0037,0.0037
0.0044,0.0041,0.0032,nan,0.0039,0.0053,0.0056,nan,0.0038,0.0039
0.0046,0.0042,0.0034,nan,0.0042,0.0053,0.0057,nan,0.0038,0.0041
0.0048,0.0043,0.0035,nan,0.0045,0.0054,0.0058,nan,0.0039,0.0042
0.0050,0.0044,0.0035,nan,0.0048,0.0054,0.0059,nan,0.0040,0.0042
0.0052,0.0045,0.0035,nan,0.0049,0.0055,0.0060,nan,0.0042,0.0043
0.0055,0.0046,0.0035,nan,0.0050,0.0056,0.0062,nan,0.0042,0.0044
0.0058,0.0048,0.0036,nan,0.0050,0.0058,0.0064,nan,0.0043,0.0045
0.0061,0.0050,0.0038,nan,0.0051,0.0059,0.0067,nan,0.0045,0.0047
0.0065,0.0052,0.0039,nan,0.0052,0.0060,0.0070,nan,0.0045,0.0050
0.0069,0.0053,0.0041,nan,0.0055,0.0061,0.0072,nan,0.0046,0.0053
0.0070,0.0054,0.0042,nan,0.0057,0.0062,0.0073,nan,0.0048,0.0055
0.0071,0.0055,0.0043,nan,0.0061,0.0063,0.0074,nan,0.0049,0.0056
0.0074,0.0055,0.0045,nan,0.0062,0.0065,0.0076,nan,0.0050,0.0057
0.0076,0.0057,0.0047,nan,0.0062,0.0066,0.0078,nan,0.0051,0.0059
0.0079,0.0057,0.0050,nan,0.0064,0.0068,0.0079,nan,0.0052,0.0061
0.0082,0.0058,0.0052,nan,0.0065,0.0070,0.0080,nan,0.0055,0.0063
0.0087,0.0060,0.0053,nan,0.0066,0.0073,0.0081,nan,0.0057,0.0063
0.0090,0.0061,0.0053,nan,0.0067,0.0076,0.0083,nan,0.0058,0.0064
0.0092,0.0062,0.0053,nan,0.0068,0.0080,0.0085,nan,0.0059,0.0065
0.0093,0.0063,0.0054,nan,0.0068,0.0083,0.0087,nan,0.0060,0.0067
0.0094,0.0064,0.0055,nan,0.0070,0.0084,0.0091,nan,0.0061,0.0067
0.0096,0.0064,0.0056,nan,0.0071,0.0086,0.0092,nan,0.0063,0.0068
0.0096,0.0065,0.0059,nan,0.0072,0.0088,0.0093,nan,0.0065,0.0070
0.0098,0.0067,0.0062,nan,0.0073,0.0089,0.0094,nan,0.0067,0.0072
0.0100,0.0067,0.0063,nan,0.0074,0.0090,0.0096,nan,0.0069,0.0075
0.0074,0.0068,0.0064,nan,0.0075,0.0092,0.0099,nan,0.0071,0.0078
0.0076,0.0070,0.0066,nan,0.0077,0.0094,0.0056,nan,0.0072,0.0081
0.0078,0.0072,0.0068,nan,0.0078,0.0096,0.0059,nan,0.0073,0.0084
0.0080,0.0074,0.0070,nan,0.0080,0.0097,0.0063,nan,0.0073,0.0087
0.0082,0.0077,0.0071,nan,0.0080,0.0100,0.0065,nan,0.0074,0.0089
0.0084,0.0078,0.0074,nan,0.0081,0.0086,0.0067,nan,0.0075,0.0091
0.0085,0.0080,0.0076,nan,0.0083,0.0089,0.0071,nan,0.0076,0.0095
0.0087,0.0082,0.0078,nan,0.0084,0.0093,0.0075,nan,0.0078,0.0098
0.0089,0.0084,0.0079,nan,0.0085,0.0097,0.0079,nan,0.0079,0.0099
0.0092,0.0085,0.0080,nan,0.0087,0.0100,0.0085,nan,0.0080,0.0100
0.0092,0.0086,0.0080,nan,0.0089,0.0096,0.0086,nan,0.0080,0.0098
0.0094,0.0088,0.0080,nan,0.0092,0.0097,0.0087,nan,0.0081,0.0099
0.0096,0.0090,0.0081,nan,0.0094,0.0097,0.0087,nan,0.0081,0.0100
0.0098,0.0094,0.0082,nan,0.0095,0.0098,0.0088,nan,0.0082,0.0072
0.0095,0.0098,0.0085,nan,0.0095,0.0099,0.0089,nan,0.0084,0.0074
0.0098,0.0095,0.0087,nan,0.0096,0.0100,0.0090,nan,0.0085,0.0075
nan,0.0098,0.0091,nan,0.0097,nan,0.0091,nan,0.0086,0.0076
nan,0.0099,0.0094,nan,0.0099,nan,0.0093,nan,0.0087,0.0077
nan,0.0090,0.0097,nan,nan,nan,0.0094,nan,0.0088,0.0078
nan,0.0091,0.0097,nan,nan,nan,0.0097,nan,0.0090,0.0079
nan,0.0092,0.0090,nan,nan,nan,0.0100,nan,0.0093,0.0081
nan,0.0094,0.0092,nan,nan,nan,0.0096,nan,0.0094,0.0082
nan,0.0096,0.0093,nan,nan,nan,nan,nan,0.0095,0.0083
nan,0.0096,0.0094,nan,nan,nan,nan,nan,0.0097,0.0083
nan,0.0098,0.0096,nan,nan,nan,nan,nan,0.0098,0.0085
nan,0.0099,0.0097,nan,nan,nan,nan,nan,0.0098,0.0087
nan,0.0099,0.0099,nan,nan,nan,nan,nan,0.0099,0.0089
nan,0.0093,0.0100,nan,nan,nan,nan,nan,nan,0.0090
nan,0.0094,nan,nan,nan,nan,nan,nan,nan,0.0091
nan,0.0096,nan,nan,nan,nan,nan,nan,nan,0.0093
nan,0.0098,nan,nan,nan,nan,nan,nan,nan,0.0095
nan,0.0100,nan,nan,nan,nan,nan,nan,nan,0.0096
nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0097
nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0098
nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0099
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
